Suit of Card 1,Rank of Card 1,Suit of Card 2,Rank of Card 2,Suit of Card 3,Rank of Card 3,Suit of Card 4,Rank of Card 4,Suit of Card 5,Rank of Card 5,Poker Hand
4,8,4,4,4,2,4,1,4,7,5
4,6,4,1,4,5,4,3,4,8,5
4,2,4,4,4,5,4,3,4,12,5
2,12,2,1,2,13,2,4,2,3,5
1,6,1,5,1,1,1,9,1,12,5
4,7,4,4,4,10,4,9,4,12,5
3,9,3,3,3,13,3,11,3,5,5
3,10,3,2,3,5,3,8,3,4,5
4,10,4,12,4,6,4,9,4,8,5
3,2,3,5,3,11,3,12,3,7,5
2,6,2,12,2,4,2,13,2,9,5
2,11,2,12,2,13,2,4,2,9,5
3,2,3,5,3,11,3,10,3,12,5
2,7,2,12,2,3,2,2,2,9,5
4,5,4,11,4,2,4,6,4,1,5
3,13,3,8,3,3,3,12,3,5,5
2,8,2,12,2,7,2,3,2,10,5
4,10,4,6,4,4,4,2,4,8,5
2,2,2,10,2,5,2,7,2,6,5
1,13,1,2,1,5,1,7,1,9,5
4,6,4,12,4,3,4,11,4,1,5
1,1,1,10,1,12,1,2,1,4,5
1,12,1,2,1,13,1,5,1,8,5
1,4,1,8,1,13,1,12,1,3,5
3,12,3,3,3,8,3,4,3,6,5
3,9,3,10,3,7,3,8,3,4,5
3,9,3,10,3,11,3,1,3,5,5
4,11,4,8,4,3,4,7,4,1,5
3,1,3,7,3,11,3,10,3,2,5
1,6,1,4,1,5,1,10,1,8,5
4,12,4,4,4,11,4,1,4,9,5
1,4,1,9,1,3,1,2,1,1,5
4,1,4,3,4,9,4,12,4,8,5
4,9,4,7,4,6,4,8,4,13,5
3,10,3,7,3,5,3,3,3,9,5
2,11,2,13,2,1,2,12,2,9,5
3,2,3,4,3,8,3,7,3,5,5
4,1,4,5,4,13,4,9,4,7,5
4,5,4,3,4,2,4,1,4,13,5
4,4,4,6,4,2,4,7,4,12,5
4,5,4,9,4,12,4,11,4,4,5
1,13,1,6,1,2,1,4,1,1,5
1,9,1,11,1,13,1,10,1,3,5
2,11,2,1,2,6,2,9,2,8,5
1,13,1,3,1,7,1,5,1,12,5
2,1,2,7,2,3,2,9,2,13,5
4,2,4,7,4,8,4,12,4,3,5
1,6,1,7,1,3,1,4,1,11,5
3,2,3,3,3,13,3,7,3,1,5
2,9,2,1,2,7,2,12,2,10,5
4,12,4,2,4,8,4,10,4,11,5
4,10,4,12,4,9,4,1,4,13,5
2,9,2,13,2,5,2,4,2,3,5
1,9,1,11,1,3,1,8,1,4,5
