Suit of Card 1,Rank of Card 1,Suit of Card 2,Rank of Card 2,Suit of Card 3,Rank of Card 3,Suit of Card 4,Rank of Card 4,Suit of Card 5,Rank of Card 5,Poker Hand
1,4,1,1,1,3,3,5,3,2,4
1,11,3,12,3,10,4,9,2,13,4
3,9,1,10,4,11,3,7,4,8,4
2,5,4,2,4,4,2,3,1,6,4
3,10,1,7,3,8,3,11,3,9,4
3,8,2,7,3,9,1,6,2,5,4
1,2,3,4,2,5,1,1,2,3,4
3,6,2,7,1,5,2,4,3,8,4
2,8,2,10,2,6,3,9,3,7,4
3,11,3,12,2,9,3,8,2,10,4
2,13,4,11,1,12,4,10,4,9,4
1,12,3,10,1,8,2,11,2,9,4
4,5,2,6,3,7,4,9,3,8,4
3,1,1,3,1,5,4,4,2,2,4
1,1,3,12,4,11,1,10,1,13,4
3,2,4,5,2,1,4,3,2,4,4
3,9,4,10,4,11,4,12,3,13,4
3,4,1,5,1,8,2,7,3,6,4
1,3,2,2,3,4,2,1,1,5,4
3,3,4,5,2,4,4,6,3,2,4
1,6,2,4,3,7,4,8,1,5,4
1,11,2,12,2,13,1,9,1,10,4
1,10,1,9,1,7,3,11,3,8,4
4,6,2,9,3,8,4,7,1,5,4
1,4,3,8,1,6,1,7,4,5,4
3,4,1,6,3,8,4,7,2,5,4
4,7,3,3,4,6,4,4,2,5,4
2,10,3,13,1,9,2,11,3,12,4
1,11,1,7,4,9,1,10,2,8,4
4,8,3,9,1,10,3,7,4,6,4
2,7,2,5,3,4,1,8,1,6,4
4,8,4,9,2,7,1,10,4,11,4
1,1,2,2,2,4,4,3,1,5,4
1,13,2,9,4,12,1,10,4,11,4
1,12,3,11,3,13,4,10,1,9,4
2,12,2,10,4,13,3,1,4,11,4
1,10,3,11,3,9,1,7,3,8,4
3,7,2,8,4,11,3,9,4,10,4
2,9,2,10,3,6,1,7,4,8,4
1,1,2,10,4,13,1,12,1,11,4
3,8,1,9,2,5,2,6,3,7,4
3,4,4,3,1,6,2,5,1,7,4
1,3,2,4,2,6,2,7,4,5,4
1,12,1,10,3,11,1,1,4,13,4
4,12,2,10,1,1,4,13,3,11,4
4,5,4,3,1,6,2,4,3,7,4
3,5,1,3,3,6,1,7,4,4,4
3,12,1,13,2,9,3,10,4,11,4
2,6,3,9,3,10,2,8,3,7,4
3,9,2,10,4,11,4,12,4,8,4
2,8,4,6,3,9,3,7,4,10,4
4,10,4,8,3,11,2,7,2,9,4
2,8,1,10,1,9,3,7,1,6,4
1,8,2,6,4,5,2,7,4,4,4
4,8,2,10,2,9,2,12,1,11,4
4,13,2,11,4,10,2,9,3,12,4
2,8,4,10,3,11,1,9,4,12,4
4,2,2,3,3,5,3,4,2,6,4
3,6,3,5,4,4,2,3,4,2,4
1,12,2,10,4,13,1,11,4,9,4
1,2,1,4,3,5,3,6,3,3,4
3,5,2,6,1,4,4,8,1,7,4
3,11,4,10,3,9,2,12,4,8,4
3,13,4,10,1,1,3,12,1,11,4
3,6,2,7,4,5,1,8,1,4,4
3,7,3,8,4,4,1,6,2,5,4
4,10,4,11,2,13,1,12,3,1,4
3,10,2,13,3,11,2,1,2,12,4
1,3,1,2,3,5,1,4,2,6,4
4,5,4,6,4,9,2,7,3,8,4
2,6,4,8,1,7,1,4,2,5,4
1,3,4,5,2,6,2,7,4,4,4
1,12,3,9,4,10,3,11,1,13,4
3,1,1,12,3,13,2,11,2,10,4
4,3,3,4,1,5,1,1,4,2,4
4,10,1,13,1,9,4,12,4,11,4
3,6,2,2,2,5,2,4,3,3,4
1,13,4,1,2,12,4,11,4,10,4
1,4,4,7,3,5,2,3,2,6,4
1,9,4,10,2,8,1,6,1,7,4
4,13,3,12,4,10,1,11,2,9,4
4,4,4,8,3,7,2,5,3,6,4
1,5,3,6,3,7,4,4,3,3,4
2,13,1,12,1,11,1,10,2,9,4
2,12,3,10,1,13,1,9,1,11,4
3,8,1,11,4,12,1,9,1,10,4
3,8,1,6,2,7,4,4,4,5,4
3,3,1,6,3,4,1,5,3,2,4
3,11,3,13,3,12,3,10,2,1,4
2,6,2,8,2,4,3,7,1,5,4
2,12,1,13,4,9,2,11,4,10,4
3,13,3,10,1,1,1,11,3,12,4
2,9,2,12,4,8,1,11,4,10,4
